google-symbols,hfpxzc href,jHLihd,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd (2),W4Efsd (3),W4Efsd (4),W4Efsd (5),W4Efsd (6),UsdlK,lcr4fd href,Cw1rxd,R8c4Qb,Cw1rxd (2),R8c4Qb (2),ah5Ghc,M4A5Cf,ah5Ghc (2),bm892c href,LDHnMb,c2ePGf,NlVald
,https://www.google.com/maps/place/%E5%9C%8B%E8%B3%93%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442a9829927b2e5:0x16a136a5bcc448cd!8m2!3d25.0346815!4d121.5272047!16s%2Fg%2F1pzxfv8d7!19sChIJ5bInmYKpQjQRzUjEvKU2oRY?authuser=0&hl=zh-TW&rclk=1,,國賓水電行,1.9,(9),水匠,·,金山南路一段140號,營業中,· 打烊時間：21:00,·,02 2351 7609,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E5%A4%A7%E6%AC%A3%E6%B0%B4%E9%9B%BB%E5%B7%A5%E7%A8%8B%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/data=!4m7!3m6!1s0x3442a9780a3b1117:0xf4c73b8ee80ab815!8m2!3d25.035336!4d121.5267001!16s%2Fg%2F1pzxrt_sq!19sChIJFxE7CnipQjQRFbgK6I47x_Q?authuser=0&hl=zh-TW&rclk=1,,大欣水電工程有限公司,4.4,(38),水匠,·,金山南路一段110巷17號,即將打烊,：18:00 · 開始營業時間：週二08:30,·,02 3393 2752,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E4%BF%AE%E7%B9%95%E5%AE%B6%E6%B0%B4%E9%9B%BB%E5%86%B7%E6%B0%A3%EF%BC%8E%E4%BF%9D%E5%93%A5/data=!4m7!3m6!1s0x3442abcc29172049:0x6622186d063e0ef0!8m2!3d25.049917!4d121.567327!16s%2Fg%2F11qrsl7lgx!19sChIJSSAXKcyrQjQR8A4-Bm0YImY?authuser=0&hl=zh-TW&rclk=1,贊助商廣告,修繕家水電冷氣．保哥,5.0,(484),修繕公司,·,5號 南京東路五段286巷,已打烊,⋅ 開始營業時間：週二09:00,·,02 2747 4200,https://www.google.com/aclk?sa=L&ai=DChsSEwjSiK_RwoqRAxUb6RYFHQjUBRMYACICCAEQBBoCdGw&co=1&ase=2&gclid=Cj0KCQiAoZDJBhC0ARIsAERP-F_iZNwSkqi8ALB1zlIu3EEVylAruA2YHf6QovHR27Y-5n__nxp8iUwaAhNKEALw_wcB&cid=CAASuwHkaEZs7lJMi3ouK6HdB7RcE1xSxO7E_dW2odQaqipkFdlFqvrlI4yKUhUqbOuf5JTOTJ9W_D5mg2PZzfIdkrjUPOzYNr3tXfSUpS2WKa_FV4Oc9GBf6IamOCcFMDoBclfH8XRZOWk4SFy79pzdHT2VdqmQlnND6y79O0PnQeQY2YnHooUInA4wXwH1T_bQNLnSS1v-rTY8pe0ZUoZldzwNPsH2OEIdDPmApV2pO4xBS0xkYupPpZ1X5alQ&cce=2&category=acrcp_v1_32&sig=AOD64_0y61GzfrrZr-t35YS_YEvmd--_Iw&adurl&q&ctype=99&nis=6,,網站,,規劃路線,,,,https://www.google.com/aclk?sa=L&ai=DChsSEwjSiK_RwoqRAxUb6RYFHQjUBRMYACICCAEQBBoCdGw&co=1&ase=2&gclid=Cj0KCQiAoZDJBhC0ARIsAERP-F_iZNwSkqi8ALB1zlIu3EEVylAruA2YHf6QovHR27Y-5n__nxp8iUwaAhNKEALw_wcB&cid=CAASuwHkaEZs7lJMi3ouK6HdB7RcE1xSxO7E_dW2odQaqipkFdlFqvrlI4yKUhUqbOuf5JTOTJ9W_D5mg2PZzfIdkrjUPOzYNr3tXfSUpS2WKa_FV4Oc9GBf6IamOCcFMDoBclfH8XRZOWk4SFy79pzdHT2VdqmQlnND6y79O0PnQeQY2YnHooUInA4wXwH1T_bQNLnSS1v-rTY8pe0ZUoZldzwNPsH2OEIdDPmApV2pO4xBS0xkYupPpZ1X5alQ&cce=2&category=acrcp_v1_32&sig=AOD64_0y61GzfrrZr-t35YS_YEvmd--_Iw&adurl=&rct=j&nis=6,總開關箱更換、預防電線短路,修繕家專業老屋換線團隊，專為老宅、中古屋提供完整的電線汰換服務，確保用電安全 立刻來電了解!,造訪網站
,https://www.google.com/maps/place/%E5%B7%A7%E5%AE%B8%E5%B7%A5%E7%A8%8B%E8%A1%8C%EF%BC%8824H%E6%B0%B4%E9%9B%BB%2F%E9%90%B5%E5%B7%A5%EF%BC%89/data=!4m7!3m6!1s0x3442abd99336ffb1:0xeb57fbf2dd57e327!8m2!3d25.052354!4d121.583871!16s%2Fg%2F11ykwgr8m_!19sChIJsf82k9mrQjQRJ-NX3fL7V-s?authuser=0&hl=zh-TW&rclk=1,贊助商廣告,巧宸工程行（24H水電/鐵工）,4.6,(9),水電承包商,·,266-2號 南港路三段,24 小時營業,,·,0989 845 757,https://www.google.com/aclk?sa=L&ai=DChsSEwjSiK_RwoqRAxUb6RYFHQjUBRMYACICCAEQBxoCdGw&co=1&ase=2&gclid=Cj0KCQiAoZDJBhC0ARIsAERP-F99ZavC8QKPBIG21zMsOVo19vgUCxcK9GHlwg9EjDHI2a8ubYOGiF8aApcIEALw_wcB&cid=CAASuwHkaEZs7lJMi3ouK6HdB7RcE1xSxO7E_dW2odQaqipkFdlFqvrlI4yKUhUqbOuf5JTOTJ9W_D5mg2PZzfIdkrjUPOzYNr3tXfSUpS2WKa_FV4Oc9GBf6IamOCcFMDoBclfH8XRZOWk4SFy79pzdHT2VdqmQlnND6y79O0PnQeQY2YnHooUInA4wXwH1T_bQNLnSS1v-rTY8pe0ZUoZldzwNPsH2OEIdDPmApV2pO4xBS0xkYupPpZ1X5alQ&cce=2&category=acrcp_v1_32&sig=AOD64_0RjWm9BjipzSg32eBWuWV4-NRMHg&adurl&q&ctype=99&nis=6,,網站,,規劃路線,,,,https://www.google.com/aclk?sa=L&ai=DChsSEwjSiK_RwoqRAxUb6RYFHQjUBRMYACICCAEQBxoCdGw&co=1&ase=2&gclid=Cj0KCQiAoZDJBhC0ARIsAERP-F99ZavC8QKPBIG21zMsOVo19vgUCxcK9GHlwg9EjDHI2a8ubYOGiF8aApcIEALw_wcB&cid=CAASuwHkaEZs7lJMi3ouK6HdB7RcE1xSxO7E_dW2odQaqipkFdlFqvrlI4yKUhUqbOuf5JTOTJ9W_D5mg2PZzfIdkrjUPOzYNr3tXfSUpS2WKa_FV4Oc9GBf6IamOCcFMDoBclfH8XRZOWk4SFy79pzdHT2VdqmQlnND6y79O0PnQeQY2YnHooUInA4wXwH1T_bQNLnSS1v-rTY8pe0ZUoZldzwNPsH2OEIdDPmApV2pO4xBS0xkYupPpZ1X5alQ&cce=2&category=acrcp_v1_32&sig=AOD64_0RjWm9BjipzSg32eBWuWV4-NRMHg&adurl=&rct=j&nis=6,雙北24小時水電急修,牽線/拉線/衛浴/馬桶/馬達/開關插座/燈具/漏水/抓漏 查電 /沒水沒電/開關插座修改...等。,造訪網站
,https://www.google.com/maps/place/%E5%9C%8B%E6%BA%90%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442a9c03730a9a9:0xe207091da92d40e7!8m2!3d25.015156!4d121.513087!16s%2Fg%2F11g63yvn3h!19sChIJqakwN8CpQjQR50AtqR0JB-I?authuser=0&hl=zh-TW&rclk=1,,國源水電行,4.7,(44),水匠,·,文化路101號1樓,營業中,· 打烊時間：21:00,·,02 2231 6461,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E4%BD%91%E6%B0%91%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442a9eb04ffbb1f:0xb47f6c720f693398!8m2!3d25.0140632!4d121.5174945!16s%2Fg%2F11gb3t62c2!19sChIJH7v_BOupQjQRmDNpD3Jsf7Q?authuser=0&hl=zh-TW&rclk=1,,佑民水電行,3.8,(22),水匠,·,復興街79號1F,營業中,· 打烊時間：19:30,·,02 8923 8296,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E5%81%89%E9%B3%B4%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442a99b0b7bd5f9:0xb889f4a518278358!8m2!3d25.0293284!4d121.5230066!16s%2Fg%2F1pzq600mn!19sChIJ-dV7C5upQjQRWIMnGKX0ibg?authuser=0&hl=zh-TW&rclk=1,,偉鳴水電行,,,水匠,·,潮州街46號,,,,,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E5%A4%A7%E5%AE%B6%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442a989431e7e4d:0x5f2b4e7b33568c6d!8m2!3d25.018738!4d121.5326004!16s%2Fg%2F11bzt6b14_!19sChIJTX4eQ4mpQjQRbYxWM3tOK18?authuser=0&hl=zh-TW&rclk=1,,大家水電行,3.0,(24),水匠,·,新生南路三段86巷9號,,,,02 2362 6288,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E7%AC%AC%E4%B8%80%E5%BB%9A%E5%85%B7%E7%87%88%E9%A3%BE%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442a9c0edbdca51:0x9935d71754d23851!8m2!3d25.0162466!4d121.5105151!16s%2Fg%2F1pzw8wzcf!19sChIJUcq97cCpQjQRUTjSVBfXNZk?authuser=0&hl=zh-TW&rclk=1,,第一廚具燈飾水電行,5.0,(108),水電承辦商,·,文化路153-1號1樓,營業中,· 打烊時間：21:00,·,02 2920 9922,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E9%A3%9B%E5%88%A9%E6%B5%A6%E7%85%A7%E6%98%8E%E6%8C%87%E5%AE%9A%E7%B6%93%E9%8A%B7%E5%95%86_%E5%85%A8%E5%A8%81%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99/data=!4m7!3m6!1s0x3442a967e97f0ad1:0xbd154de9cb4af68b!8m2!3d25.0251494!4d121.5182928!16s%2Fg%2F11kpk2ws8r!19sChIJ0Qp_6WepQjQRi_ZKy-lNFb0?authuser=0&hl=zh-TW&rclk=1,,飛利浦照明指定經銷商_全威水電材料,3.0,(2),五金用品店,·,汀州路二段62號,即將打烊,：18:30 · 開始營業時間：週二08:00,·,02 2367 2775,,,規劃路線,,,外送,,,,,,
